SUM of Quantity,Country or Area,,,,,,,,,,
Year,Canada,China,Germany,India,Japan,Malaysia,Singapore,United Arab Emirates,United Kingdom,United States,Grand Total
2004,13,,557,,1118,,,,4,965,2657
2005,17,,1282,,1420,,,,8,1120,3847
2006,21,,2220,,1721,,,,11,1287,5260
2007,26,,3075,,1972,,,,14,1674,6761
2008,35,,4420,,2206,,1,,17,2092,8771
2009,109,,6584,,2657,,3,,20,2515,11888
2010,255,,11729,,3543,0.681,5,,40,3942,19514.681
2011,572,,19599,,4839,0.681,8,,244,6215,31477.681
2012,881,,26380,,6613,47.743,13,19,1354,10145,45452.743
2013,1499,5564,31010,3433,12880,141,17,53,2010,15872,72479
2014,2120,25134,36056,5020,22952,227,38,291,4054,25764,121656
2015,2895,38776,38726,7039,34802,273,69,291,7533,35635,166039
2016,4030,61586,38098,12578,45761,310,146,309,10395,50334,223547
2017,3573,106338,39401,24613,55068.529,330.12,175,792,11457.269,70979.619,312727.537
2018,3796,177517,45784,39728,62667.671,632,237,1303.1,12735.51,85184.441,429584.722
2019,4079,224460,46392,50563,68952.571,943.489,410,3779.8,12918.07,97478.316,509976.246
2020,,,,,,,622,,,,622
Grand Total,23921,639375,351313,142974,329172.771,2905.714,1744,6837.9,62814.849,411202.376,1972260.61
