Year ,Moderate Drought,Severe Drought,Total
1877,30.6,28.9,59.5
1891,22.4,0.3,22.7
1899,44.1,24.3,68.4
1901,19.3,10.7,30
1904,17.5,16.9,34.4
1905,25.2,12,37.2
1907,27.9,1.2,29.1
1911,13,15.4,28.4
1913,24.5,0,24.5
1915,18.8,3.4,22.2
1918,44.3,25.7,70
1920,35.7,2.3,38
1925,21.1,0,21.1
1939,17.8,10.7,28.5
1941,35.5,0,35.5
1951,35.1,0,35.1
1965,38.3,0,38.3
1966,35.4,0,35.4
1968,21.9,0,21.9
1972,36.6,3.8,40.4
1974,27.1,6.9,34
1979,33,1.8,34.8
1982,29.1,0,29.1
1985,25.6,16.7,42.3
1987,29.8,17.9,47.7
