S. N.,States,Total,Rural,Urban
1,Andaman & Nicobar Islands,76.7,66.8,97.8
2,Andhra Pradesh,80.1,76.9,90.2
3,Arunachal Pradesh,77.5,73.7,90.7
4,Assam,58.8,56.8,70.4
5,Bihar,86.6,86.1,91.2
6,Chandigarh,99.8,99.9,99.8
7,Chhattisgarh,70.5,66.2,88.8
8,Dadra & Nagar Haveli,77,70.5,96.1
9,Daman & Diu,96.3,94.9,98.9
10,Delhi,97.2,90.1,97.7
11,Goa,70.1,58.3,82.1
12,Gujarat,84.1,76.9,95.4
13,Haryana,86.1,81.1,97.3
14,Himachal Pradesh,88.6,87.5,97
15,Jammu & Kashmir,65.2,54.9,95.7
16,Jharkhand,42.6,35.5,68.2
17,Karnataka,84.6,80.5,92.1
18,Kerala,23.4,16.9,42.8
19,Lakshadweep,4.6,4.6,4.6
20,Madhya Pradesh,68.4,61.5,88.6
21,Maharashtra,79.8,68.4,95.4
22,Manipur,37,29.3,59.4
23,Meghalaya,39,29.5,73.5
24,Mizoram,36,23.8,47.8
25,Nagaland,46.5,47.5,42.3
26,Orissa,64.2,62.9,72.3
27,Pondicherry,95.9,96.6,95.5
28,Punjab,97.6,96.9,98.9
29,Rajasthan,68.2,60.4,93.5
30,Sikkim,70.7,67,97.1
31,Tamil Nadu,85.6,85.3,85.9
32,Tripura,52.5,45,85.8
33,Uttar Pradesh,87.8,85.5,97.2
34,Uttarakhand,86.7,83,97.8
35,West Bengal,88.5,87,92.3
