S. N.,States,1981,1991,2001
1,Andaman & Nicobar Islands,51.6,67.9,76.7
2,Andhra Pradesh,25.9,55.1,80.1
3,Arunachal Pradesh,43.9,70,77.5
4,Assam,NA,45.9,58.8
5,Bihar,37.6,58.8,86.6
6,Chandigarh,99.1,97.7,99.8
7,Chhattisgarh,*,*,70.5
8,Dadra & Nagar Haveli,19.4,45.6,77
9,Daman & Diu,54.5,71.4,96.3
10,Delhi,93,95.8,97.2
11,Goa,22.5,43.4,70.1
12,Gujarat,52.4,69.8,84.1
13,Haryana,55.1,74.3,86.1
14,Himachal Pradesh,44.5,77.3,88.6
15,Jammu & Kashmir,40.3,NA,65.2
16,Jharkhand,*,*,42.6
17,Karnataka,33.9,71.7,84.6
18,Kerala,12.2,18.9,23.4
19,Lakshadweep,2.2,11.9,4.6
20,Madhya Pradesh,20.2,53.4,68.4
21,Maharashtra,42.3,68.5,79.8
22,Manipur,19.5,38.7,37
23,Meghalaya,25.1,36.2,39
24,Mizoram,4.9,16.2,36
25,Nagaland,45.6,53.4,46.5
26,Orissa,14.6,39.1,64.2
27,Pondicherry,80.6,88.8,95.9
28,Punjab,84.6,92.7,97.6
29,Rajasthan,27.1,59,68.2
30,Sikkim,30.3,73.1,70.7
31,Tamil Nadu,43.1,67.4,85.6
32,Tripura,27.3,37.2,52.5
33,Uttar Pradesh,33.8,62.2,87.8
34,Uttarakhand,*,*,86.7
35,West Bengal,69.7,82,88.5
