country,date,count
Belgium,2/1/20,0
Belgium,3/1/20,2
Belgium,4/1/20,13964
Belgium,5/1/20,49032
Belgium,6/1/20,58517
Belgium,7/1/20,61509
Belgium,8/1/20,69402
Belgium,9/1/20,85487
Belgium,10/1/20,121059
Belgium,11/1/20,441018
Belgium,12/1/20,579212
Belgium,1/1/21,648289
Belgium,2/1/21,711417
Belgium,3/1/21,772294
Belgium,4/1/21,887920
Belgium,5/1/21,993434
Belgium,6/1/21,1063499
Belgium,7/1/21,1085885
Belgium,8/1/21,1124715
Belgium,9/1/21,1187506
Belgium,10/1/21,1247197
Belgium,11/1/21,1360650
Belgium,12/1/21,1786444
Belgium,1/1/22,2105343
Belgium,2/1/22,3184201
Belgium,3/1/22,3563841
Belgium,4/1/22,3851048
Belgium,5/1/22,4056448
Belgium,6/1/22,4152558
Belgium,7/1/22,4246078
Belgium,8/1/22,4425201
Belgium,9/1/22,4488054
India,2/1/20,1
India,3/1/20,3
India,4/1/20,1998
India,5/1/20,37257
India,6/1/20,198370
India,7/1/20,604641
India,8/1/20,1750723
India,9/1/20,3769523
India,10/1/20,6394068
India,11/1/20,8229313
India,12/1/20,9499413
India,1/1/21,10305788
India,2/1/21,10766245
India,3/1/21,11124527
India,4/1/21,12303131
India,5/1/21,19557457
India,6/1/21,28307832
India,7/1/21,30458251
India,8/1/21,31695958
India,9/1/21,32857937
India,10/1/21,33791061
India,11/1/21,34296237
India,12/1/21,34606541
India,1/1/22,34889132
India,2/1/22,41630885
India,3/1/22,42938599
India,4/1/22,43027035
India,5/1/22,43082345
India,6/1/22,43164544
India,7/1/22,43486326
India,8/1/22,44050009
India,9/1/22,44442507
Italy,2/1/20,2
Italy,3/1/20,1694
Italy,4/1/20,110574
Italy,5/1/20,207428
Italy,6/1/20,233197
Italy,7/1/20,240760
Italy,8/1/20,247832
Italy,9/1/20,270189
Italy,10/1/20,317409
Italy,11/1/20,709335
Italy,12/1/20,1620901
Italy,1/1/21,2129376
Italy,2/1/21,2560957
Italy,3/1/21,2938371
Italy,4/1/21,3607083
Italy,5/1/21,4035617
Italy,6/1/21,4220304
Italy,7/1/21,4260788
Italy,8/1/21,4355348
Italy,9/1/21,4546487
Italy,10/1/21,4675758
Italy,11/1/21,4774783
Italy,12/1/21,5043620
Italy,1/1/22,6266939
Italy,2/1/22,11116422
Italy,3/1/22,12829972
Italy,4/1/22,14719394
Italy,5/1/22,16504791
Italy,6/1/22,17440232
Italy,7/1/22,18610011
Italy,8/1/22,21059545
Italy,9/1/22,21888255
