Date,Count
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,0
3/15/2020,0
3/16/2020,1
3/17/2020,1
3/18/2020,1
3/19/2020,1
3/20/2020,1
3/21/2020,1
3/22/2020,1
3/23/2020,1
3/24/2020,1
3/25/2020,2
3/26/2020,2
3/27/2020,2
3/28/2020,2
3/29/2020,2
3/30/2020,2
3/31/2020,5
4/1/2020,5
4/2/2020,10
4/3/2020,10
4/4/2020,10
4/5/2020,15
4/6/2020,18
4/7/2020,18
4/8/2020,29
4/9/2020,32
4/10/2020,32
4/11/2020,32
4/12/2020,32
4/13/2020,32
4/14/2020,40
4/15/2020,43
4/16/2020,54
4/17/2020,99
4/18/2020,112
4/19/2020,131
4/20/2020,135
4/21/2020,150
4/22/2020,166
4/23/2020,179
4/24/2020,188
4/25/2020,188
4/26/2020,207
4/27/2020,220
4/28/2020,228
4/29/2020,252
4/30/2020,260
5/1/2020,310
5/2/2020,331
5/3/2020,345
5/4/2020,397
5/5/2020,421
5/6/2020,458
5/7/2020,468
5/8/2020,472
5/9/2020,502
5/10/2020,558
5/11/2020,558
5/12/2020,610
5/13/2020,648
5/14/2020,691
5/15/2020,745
5/16/2020,745
5/17/2020,778
5/18/2020,801
5/19/2020,850
5/20/2020,930
5/21/2020,938
5/22/2020,996
5/23/2020,1040
5/24/2020,1075
5/25/2020,1097
5/26/2020,1128
5/27/2020,1138
5/28/2020,1209
5/29/2020,1259
5/30/2020,1303
5/31/2020,1328
6/1/2020,1428
6/2/2020,1450
6/3/2020,1522
6/4/2020,1585
6/5/2020,1762
6/6/2020,1830
6/7/2020,1875
6/8/2020,2171
6/9/2020,2651
6/10/2020,3013
6/11/2020,3326
6/12/2020,3928
6/13/2020,4201
6/14/2020,4725
6/15/2020,5164
6/16/2020,5508
6/17/2020,6158
6/18/2020,7660
6/19/2020,7962
6/20/2020,8292
6/21/2020,8764
6/22/2020,8841
6/23/2020,9260
6/24/2020,9869
6/25/2020,10174
6/26/2020,10306
6/27/2020,10674
6/28/2020,12604
6/29/2020,13934
6/30/2020,14131
7/1/2020,15651
7/2/2020,16041
7/3/2020,17331
7/4/2020,19164
7/5/2020,19366
7/6/2020,20103
7/7/2020,20179
7/8/2020,20700
7/9/2020,20847
7/10/2020,20882
7/11/2020,21135
7/12/2020,21216
7/13/2020,21254
7/14/2020,21454
7/15/2020,22456
7/16/2020,22824
7/17/2020,23151
7/18/2020,23273
7/19/2020,23634
7/20/2020,23741
7/21/2020,23741
7/22/2020,23924
7/23/2020,24550
7/24/2020,24602
7/25/2020,24793
7/26/2020,25180
7/27/2020,25198
7/28/2020,25358
7/29/2020,25389
7/30/2020,25471
7/31/2020,25509
8/1/2020,25509
8/2/2020,25510
8/3/2020,25669
8/4/2020,25669
8/5/2020,25742
