Sl. No.,Location,Identification,Source,Depth,Water Use,Land Use_Specific Activity,City
60,"Irugur
","BPCL side Sentha- Marai Garden
","OW
",18,"Domestic
","Agricultural
",Coimbatore
61,"Irugur
","IOCL, HPCL opposite
","OW
",30,"Domestic
","Agricultural
",Coimbatore
62,"Irugur
","Near IOCL, HPCL By-pass
Road
","OW
",30,"Domestic
","Agricultural
",Coimbatore
131,"Karmel Nagar
","Deepa Nivas
","HP
",9,"Drinking
","Agricultural
",Vijaywada
53,"Krishnarayapuram
","Near Waste Transfer
Site
","BW
",24,"Domestic
",Commercial,Coimbatore
71,"Venkatapuram
","241/1, Saral
Nursery Garden","BW
",21,"Domestic
",Commercial,Coimbatore
73,"Kavundampalayam
","Corporation Toilet
Side MTP Road
","BW
",30,"Domestic
",Commercial,Coimbatore
74,"Gandhipuram
","Saibaba Colony Residence
","BW
",45,"Domestic
",Commercial,Coimbatore
23,"Industrial
Estate
","Trans Yamuna Colony
","HP
",10,"Drinking
",Industrial,Arga
35,"Sports Complex
","Sports Complex
","HP
",15,"Drinking
",Industrial,Meerut
36,"Partapur Ind. Area
","Opp. Sub Station
","HP
",30,"Drinking
",Industrial,Meerut
51,"Ganapathy
","Near CRI Pump Road
","BW
",121,"Domestic
",Industrial,Coimbatore
54,"Pewelamedu
",Ranga Nagar No.7 Residence,"BW
",45,"Domestic
",Industrial,Coimbatore
56,"Sitra (Kalappatti)
","Panchayat Office
","BW
",106,"Domestic
",Industrial,Coimbatore
58,"Singanallur
","Near LGB
","OW
",30,"Domestic
",Industrial,Coimbatore
63,"Kallimadai
","Trichy Road near Boat House
","OW
",30,"Domestic
",Industrial,Coimbatore
67,"Kurichi
","Palaniappa Layout Public BW
","BW
",30,"Domestic
",Industrial,Coimbatore
72,"Velandipalayam
","No.18/19, Simson
Nagar Extension","BW
",75,"Domestic
",Industrial,Coimbatore
75,"Sidhapudur
","No.51, Ambika Layout","BW
",45,"Domestic
",Industrial,Coimbatore
80,"Guindy Industrial Estate
","Public Hand Pump
","HP
",33,"Drinking
",Industrial,Chennai
85,"Villivakkam
","Public Hand Pump
","HP
",45,"Drinking
",Industrial,Chennai
108,"Virattipattu
","Balaganapathi Temple
","BW
",45,"Domestic
",Industrial,Madurai
111,"Anuppanadi
","Near TWAD Tank
","BW
",60,"Domestic
",Industrial,Madurai
112,"East Madurai
","Chinthamani Road, Near
Agrochemicals Shop
","BW
",60,"Domestic
",Industrial,Madurai
117,"Pudur
","SIDCO, Ramavarma
Nagar 6th St.","BW
",45,"Domestic
",Industrial,Madurai
122,"Sellur
","Tagore Nagar Tank
Bund Side
","BW
",75,"Domestic
",Industrial,Madurai
127,"Ashok Nagar Ind.
Estate
","Opp. Velagapudi Cold
Storage
","HP
",27,"Drinking
",Industrial,Vijaywada
148,"Ayodya Nagar
Junction
","Opp. Raghavendra Theatre
","HP
",7,"Drinking
",Industrial,Vijaywada
37,"IBP Depot
","IBP Depot
","HP
",30,"Drinking
","Petroleum Storage
",Meerut
94,"Stanley Nagar
","Public Hand Pump
","HP
",45,"Drinking
","Petroleum Storage
",Chennai
95,"Kurukumpeta
","Opp. Indian Oil
Corporation
","HP
",24,"Drinking
","Petroleum Storage
",Chennai
110,"West Ponnakaram
","Opp. Ganapathy Pillai
House, Main Road
","BW
",90,"Domestic
","Petroleum Storage
",Madurai
123,"Vilangudi
","Residence No. 6/26, IOC Nagar","BW
",21,"Domestic
","Petroleum Storage
",Madurai
124,"Vilangudi
","KPS Garden
","OW
",15,"Domestic
","Petroleum Storage
",Madurai
125,"Vilangudi
","Panchayat Ofiice
","OW
",15,"Domestic
","Petroleum Storage
",Madurai
1,Sikandra,"Opp. Getwell Hospital
","HP
",18,"Drinking
","Residential
",Arga
2,"Khandari
","Police Chowki
Compound
","HP
",24,"Cloth washing
","Residential
",Arga
3,"Lohamandi
","Saiyad Para Ground
","HP
",30,"Drinking
","Residential
",Arga
4,"Shahganj
","Rui ki mandi Chauraha
","HP
",27,"Drinking
","Residential
",Arga
5,"Sultanpura
","Jiva Ram Temple
","HP
",27,"Drinking
","Residential
",Arga
6,"Idgah Colony
","Opp. IOCL Depot
","HP
",19,"Drinking
","Residential
",Arga
7,"New Agra
Colony
","Basic Primary School
","HP
",21,"Drinking
","Residential
",Arga
8,"Rajamandi
","Opp.Rama Swing Work
","HP
",38,"Drinking
","Residential
",Arga
9,"Nai ki mandi
","Meera Husaini Chauraha
","HP
",21,"Drinking
","Residential
",Arga
10,"Rakabganj
","Opp. Over Head Tank
","HP
",15,"Drinking
","Residential
",Arga
11,"Namner
","Durga Mandir Compound
","HP
",21,"Drinking
","Residential
",Arga
12,"Bundu Katra
","Opp. Over Head Tank
","HP
",24,"Drinking
","Residential
",Arga
13,"Dayalbagh
","DEC Gate
","HP
",30,"Drinking
","Residential
",Arga
14,"Gandhi Nagar
","Main Chowk
","HP
",18,"Drinking
","Residential
",Arga
15,"Maithan
","Near City Railway Station
","HP
",24,"Drinking
","Residential
",Arga
16,"Mantola
","Opp. Jama Masjid
","HP
",24,"Drinking
","Residential
",Arga
17,"Chilgarh
","Opp. Agra Machhua
Sahkari Samiti
","HP
",24,"Drinking
","Residential
",Arga
18,"Baluganj
","Near Agra Montessori
School
","HP
",24,"Drinking
","Residential
",Arga
19,"Naulakha
","Near Girja Building
Materials
","HP
",24,"Drinking
","Residential
",Arga
20,"Ratanpura
","Near BSP Office
","HP
",12,"Drinking
","Residential
",Arga
21,"Belanganj
","Main Chowk
","HP
",12,"Drinking
","Residential
",Arga
22,"Tajganj
","Nanda Bazar Chowk
","HP
",30,"Drinking
","Residential
",Arga
24,"Balkeshwar
","Opp. S. K. Mittal Agency
","HP
",21,"Drinking
","Residential
",Arga
25,"Itma-Ud-Daulla
","Opp. Itma-Ud-Daulla
Building
","HP
",12,"Drinking
","Residential
",Arga
26,"Sadar Bazar
","Opp. Gulathi Opticals
","HP
",33,"Drinking
","Residential
",Meerut
27,"Kankar Khera
","Opp. Saru Engineering
Corp.
","HP
",30,"Drinking
","Residential
",Meerut
28,"Central Distillery
","Opp. Lal Quarters
","HP
",24,"Drinking
","Residential
",Meerut
29,"Gurudwara (Cantt
Area)
","Opp. Central School
","HP
",6,"Drinking
","Residential
",Meerut
30,"Prempuri (Devpuri)
","Opp. Vardhman Academy
","HP
",36,"Drinking
","Residential
",Meerut
31,"Kesar Ganj
","Opp. Kesar Ganj Mandi
","HP
",24,"Drinking
","Residential
",Meerut
32,"Thapar Nagar
","Opp. Devta Park
","HP
",24,"Drinking
","Residential
",Meerut
33,"Mufttiyan
","Back Side of Kotwali
","HP
",39,"Drinking
","Residential
",Meerut
34,"Bharampuri
","Near Shiv Temple
","HP
",24,"Drinking
","Residential
",Meerut
38,"Vrindavan Garden
","Roorkee Road
","TW
",42,"Drinking
","Residential
",Meerut
39,"Koshal Kunj (Cantt
Area)
",Pump House No. 17,"TW
",60,"Drinking
","Residential
",Meerut
40,"Lal Kurti
","Bada Bazar
","HP
",24,"Drinking
","Residential
",Meerut
41,"Vijay Nagar
","Near R. G. College
","HP
",18,"Drinking
","Residential
",Meerut
42,"Saket
","Opp. Nandan Apartment
","HP
",15,"Drinking
","Residential
",Meerut
43,"Prabhat Nagar
",73 Prabhat Nagar,"HP
",27,"Drinking
","Residential
",Meerut
44,"Meerut University
","University Campus
","TW
",87,"Drinking
","Residential
",Meerut
45,"Medical College
","Medical College Campus
","TW
",88,"Drinking
","Residential
",Meerut
