country,date,count
India,2/1/20,1
India,3/1/20,3
India,4/1/20,1998
India,5/1/20,37257
India,6/1/20,198370
India,7/1/20,604641
India,8/1/20,1750723
India,9/1/20,3769523
India,10/1/20,6394068
India,11/1/20,8229313
India,12/1/20,9499413
India,1/1/21,10305788
India,2/1/21,10766245
India,3/1/21,11124527
India,4/1/21,12303131
India,5/1/21,19557457
India,6/1/21,28307832
India,7/1/21,30458251
India,8/1/21,31695958
India,9/1/21,32857937
India,10/1/21,33791061
India,11/1/21,34296237
India,12/1/21,34606541
India,1/1/22,34889132
India,2/1/22,41630885
India,3/1/22,42938599
India,4/1/22,43027035
India,5/1/22,43082345
India,6/1/22,43164544
India,7/1/22,43486326
India,8/1/22,44050009
India,9/1/22,44442507
