,Country/Region,variable,value
0,Australia,1/22/20,0
1,Canada,1/22/20,0
2,China,1/22/20,548
3,Germany,1/22/20,0
4,"Korea, South",1/22/20,1
5,Malaysia,1/22/20,0
6,Russia,1/22/20,0
7,Singapore,1/22/20,0
8,US,1/22/20,1
9,United Kingdom,1/22/20,0
10,Australia,1/23/20,0
11,Canada,1/23/20,2
12,China,1/23/20,643
13,Germany,1/23/20,0
14,"Korea, South",1/23/20,1
15,Malaysia,1/23/20,0
16,Russia,1/23/20,0
17,Singapore,1/23/20,1
18,US,1/23/20,1
19,United Kingdom,1/23/20,0
20,Australia,1/24/20,0
21,Canada,1/24/20,3
22,China,1/24/20,920
23,Germany,1/24/20,0
24,"Korea, South",1/24/20,2
25,Malaysia,1/24/20,0
26,Russia,1/24/20,0
27,Singapore,1/24/20,3
28,US,1/24/20,2
29,United Kingdom,1/24/20,0
30,Australia,1/25/20,0
31,Canada,1/25/20,3
32,China,1/25/20,1406
33,Germany,1/25/20,0
34,"Korea, South",1/25/20,2
35,Malaysia,1/25/20,4
36,Russia,1/25/20,0
37,Singapore,1/25/20,3
38,US,1/25/20,2
39,United Kingdom,1/25/20,0
40,Australia,1/26/20,4
41,Canada,1/26/20,3
42,China,1/26/20,2075
43,Germany,1/26/20,0
44,"Korea, South",1/26/20,3
45,Malaysia,1/26/20,4
46,Russia,1/26/20,0
47,Singapore,1/26/20,4
48,US,1/26/20,5
49,United Kingdom,1/26/20,0
50,Australia,1/27/20,5
51,Canada,1/27/20,3
52,China,1/27/20,2877
53,Germany,1/27/20,1
54,"Korea, South",1/27/20,4
55,Malaysia,1/27/20,4
56,Russia,1/27/20,0
57,Singapore,1/27/20,5
58,US,1/27/20,5
59,United Kingdom,1/27/20,0
60,Australia,1/28/20,5
61,Canada,1/28/20,4
62,China,1/28/20,5509
63,Germany,1/28/20,4
64,"Korea, South",1/28/20,4
65,Malaysia,1/28/20,4
66,Russia,1/28/20,0
67,Singapore,1/28/20,7
68,US,1/28/20,5
69,United Kingdom,1/28/20,0
70,Australia,1/29/20,6
71,Canada,1/29/20,4
72,China,1/29/20,6087
73,Germany,1/29/20,4
74,"Korea, South",1/29/20,4
75,Malaysia,1/29/20,7
76,Russia,1/29/20,0
77,Singapore,1/29/20,7
78,US,1/29/20,6
79,United Kingdom,1/29/20,0
80,Australia,1/30/20,9
81,Canada,1/30/20,4
82,China,1/30/20,8141
83,Germany,1/30/20,4
84,"Korea, South",1/30/20,4
85,Malaysia,1/30/20,8
86,Russia,1/30/20,0
87,Singapore,1/30/20,10
88,US,1/30/20,6
89,United Kingdom,1/30/20,0
90,Australia,1/31/20,9
91,Canada,1/31/20,4
92,China,1/31/20,9802
93,Germany,1/31/20,5
94,"Korea, South",1/31/20,11
95,Malaysia,1/31/20,8
96,Russia,1/31/20,2
97,Singapore,1/31/20,13
98,US,1/31/20,8
99,United Kingdom,1/31/20,2
100,Australia,2/1/20,12
101,Canada,2/1/20,4
102,China,2/1/20,11891
103,Germany,2/1/20,8
104,"Korea, South",2/1/20,12
105,Malaysia,2/1/20,8
106,Russia,2/1/20,2
107,Singapore,2/1/20,16
108,US,2/1/20,8
109,United Kingdom,2/1/20,2
110,Australia,2/2/20,12
111,Canada,2/2/20,4
112,China,2/2/20,16630
113,Germany,2/2/20,10
114,"Korea, South",2/2/20,15
115,Malaysia,2/2/20,8
116,Russia,2/2/20,2
117,Singapore,2/2/20,18
118,US,2/2/20,8
119,United Kingdom,2/2/20,2
120,Australia,2/3/20,12
121,Canada,2/3/20,4
122,China,2/3/20,19716
123,Germany,2/3/20,12
124,"Korea, South",2/3/20,15
125,Malaysia,2/3/20,8
126,Russia,2/3/20,2
127,Singapore,2/3/20,18
128,US,2/3/20,11
129,United Kingdom,2/3/20,8
130,Australia,2/4/20,13
131,Canada,2/4/20,5
132,China,2/4/20,23707
133,Germany,2/4/20,12
134,"Korea, South",2/4/20,16
135,Malaysia,2/4/20,10
136,Russia,2/4/20,2
137,Singapore,2/4/20,24
138,US,2/4/20,11
139,United Kingdom,2/4/20,8
140,Australia,2/5/20,13
141,Canada,2/5/20,6
142,China,2/5/20,27440
143,Germany,2/5/20,12
144,"Korea, South",2/5/20,19
145,Malaysia,2/5/20,12
146,Russia,2/5/20,2
147,Singapore,2/5/20,28
148,US,2/5/20,11
149,United Kingdom,2/5/20,9
150,Australia,2/6/20,14
151,Canada,2/6/20,6
152,China,2/6/20,30587
153,Germany,2/6/20,12
154,"Korea, South",2/6/20,23
155,Malaysia,2/6/20,14
156,Russia,2/6/20,2
157,Singapore,2/6/20,28
158,US,2/6/20,12
159,United Kingdom,2/6/20,9
160,Australia,2/7/20,15
161,Canada,2/7/20,8
162,China,2/7/20,34110
163,Germany,2/7/20,13
164,"Korea, South",2/7/20,24
165,Malaysia,2/7/20,15
166,Russia,2/7/20,2
167,Singapore,2/7/20,30
168,US,2/7/20,12
169,United Kingdom,2/7/20,9
170,Australia,2/8/20,15
171,Canada,2/8/20,8
172,China,2/8/20,36814
173,Germany,2/8/20,13
174,"Korea, South",2/8/20,24
175,Malaysia,2/8/20,16
176,Russia,2/8/20,2
177,Singapore,2/8/20,33
178,US,2/8/20,12
179,United Kingdom,2/8/20,13
180,Australia,2/9/20,15
181,Canada,2/9/20,8
182,China,2/9/20,39829
183,Germany,2/9/20,14
184,"Korea, South",2/9/20,25
185,Malaysia,2/9/20,17
186,Russia,2/9/20,2
187,Singapore,2/9/20,40
188,US,2/9/20,12
189,United Kingdom,2/9/20,14
190,Australia,2/10/20,15
191,Canada,2/10/20,9
192,China,2/10/20,42354
193,Germany,2/10/20,14
194,"Korea, South",2/10/20,27
195,Malaysia,2/10/20,18
196,Russia,2/10/20,2
197,Singapore,2/10/20,45
198,US,2/10/20,12
199,United Kingdom,2/10/20,14
200,Australia,2/11/20,15
201,Canada,2/11/20,9
202,China,2/11/20,44386
203,Germany,2/11/20,16
204,"Korea, South",2/11/20,28
205,Malaysia,2/11/20,18
206,Russia,2/11/20,2
207,Singapore,2/11/20,47
208,US,2/11/20,13
209,United Kingdom,2/11/20,15
210,Australia,2/12/20,15
211,Canada,2/12/20,9
212,China,2/12/20,44759
213,Germany,2/12/20,16
214,"Korea, South",2/12/20,28
215,Malaysia,2/12/20,18
216,Russia,2/12/20,2
217,Singapore,2/12/20,50
218,US,2/12/20,13
219,United Kingdom,2/12/20,16
220,Australia,2/13/20,15
221,Canada,2/13/20,9
222,China,2/13/20,59895
223,Germany,2/13/20,16
224,"Korea, South",2/13/20,28
225,Malaysia,2/13/20,18
226,Russia,2/13/20,2
227,Singapore,2/13/20,58
228,US,2/13/20,14
229,United Kingdom,2/13/20,17
230,Australia,2/14/20,15
231,Canada,2/14/20,9
232,China,2/14/20,66358
233,Germany,2/14/20,16
234,"Korea, South",2/14/20,28
235,Malaysia,2/14/20,19
236,Russia,2/14/20,2
237,Singapore,2/14/20,67
238,US,2/14/20,14
239,United Kingdom,2/14/20,18
240,Australia,2/15/20,15
241,Canada,2/15/20,9
242,China,2/15/20,68413
243,Germany,2/15/20,16
244,"Korea, South",2/15/20,28
245,Malaysia,2/15/20,22
246,Russia,2/15/20,2
247,Singapore,2/15/20,72
248,US,2/15/20,14
249,United Kingdom,2/15/20,18
250,Australia,2/16/20,15
251,Canada,2/16/20,9
252,China,2/16/20,70513
253,Germany,2/16/20,16
254,"Korea, South",2/16/20,29
255,Malaysia,2/16/20,22
256,Russia,2/16/20,2
257,Singapore,2/16/20,75
258,US,2/16/20,14
259,United Kingdom,2/16/20,18
260,Australia,2/17/20,15
261,Canada,2/17/20,10
262,China,2/17/20,72434
263,Germany,2/17/20,16
264,"Korea, South",2/17/20,30
265,Malaysia,2/17/20,22
266,Russia,2/17/20,2
267,Singapore,2/17/20,77
268,US,2/17/20,14
269,United Kingdom,2/17/20,19
270,Australia,2/18/20,15
271,Canada,2/18/20,10
272,China,2/18/20,74211
273,Germany,2/18/20,16
274,"Korea, South",2/18/20,31
275,Malaysia,2/18/20,22
276,Russia,2/18/20,2
277,Singapore,2/18/20,81
278,US,2/18/20,14
279,United Kingdom,2/18/20,19
280,Australia,2/19/20,15
281,Canada,2/19/20,10
282,China,2/19/20,74619
283,Germany,2/19/20,16
284,"Korea, South",2/19/20,31
285,Malaysia,2/19/20,22
286,Russia,2/19/20,2
287,Singapore,2/19/20,84
288,US,2/19/20,14
289,United Kingdom,2/19/20,20
290,Australia,2/20/20,15
291,Canada,2/20/20,11
292,China,2/20/20,75077
293,Germany,2/20/20,16
294,"Korea, South",2/20/20,104
295,Malaysia,2/20/20,22
296,Russia,2/20/20,2
297,Singapore,2/20/20,84
298,US,2/20/20,14
299,United Kingdom,2/20/20,22
300,Australia,2/21/20,15
301,Canada,2/21/20,13
302,China,2/21/20,75550
303,Germany,2/21/20,16
304,"Korea, South",2/21/20,204
305,Malaysia,2/21/20,22
